UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT,valid_close,valid_hilo,Measure2
DAY,1591142400,267,cadli,BTC-USD,9532.84938215527,9669.59379760606,9416.55652583746,9663.70697000841,1591142400,1591228740,9525.12757379199,9669.59379760606,1591227660,9416.55652583746,1591162020,9663.70697000841,1440,489805.621429584,4677370037.40918,159885.650269391,1527602957.98067,88401.6407098097,844557419.313312,40593.2600018697,387831942.72876,True,True,0.01592497914882712
DAY,1591228800,267,cadli,BTC-USD,9663.70697000841,9870.76081616888,9473.06499217164,9795.62269140986,1591228800,1591315140,9669.88646503857,9870.76081616888,1591294500,9473.06499217164,1591270320,9795.62269140986,1440,493450.369125517,4780839546.39865,198715.391768584,1927280893.5181,91103.2490679798,882341392.928715,59871.9049721198,580921040.777716,True,True,0.024697735126537005
DAY,1591315200,267,cadli,BTC-USD,9795.62269140986,9838.64522489257,9619.98433630143,9626.47795503711,1591315200,1591401540,9796.07118630523,9838.64522489257,1591321620,9619.98433630143,1591359840,9626.47795503711,1440,430245.266648436,4188769445.88505,168232.228391638,1637912046.75404,54510.332280598,530210846.118264,45342.075769838,441024280.411458,True,True,0.013497844137697727
DAY,1591401600,267,cadli,BTC-USD,9626.47795503711,9737.35559465012,9546.40834183487,9677.23142207293,1591401600,1591487940,9580.27009632175,9737.35559465012,1591445400,9546.40834183487,1591403880,9677.23142207293,1440,285007.92406971,2746697989.13809,100304.882731312,966383507.632173,30164.6762010551,290510075.692636,24827.9841526851,239104610.833544,True,True,0.011893866847229706
DAY,1591488000,267,cadli,BTC-USD,9677.23142207293,9795.23562388859,9416.79132187667,9751.28064058002,1591488000,1591574340,9676.30618740428,9795.23562388859,1591560000,9416.79132187667,1591538700,9751.28064058002,1440,420930.611195792,4046823623.17431,170306.803196051,1636871345.43686,51451.9615346422,494271867.685507,39961.3075891722,383931287.500225,True,True,0.023663132452904044
DAY,1591574400,267,cadli,BTC-USD,9751.28064058002,9794.81457706191,9659.20968211468,9780.99619651199,1591574400,1591660740,9769.15592886546,9794.81457706191,1591659780,9659.20968211468,1591625100,9780.99619651199,1440,340552.527654577,3311998766.47751,117114.491530118,1138937839.91706,37163.0431211188,361476085.922191,29185.8627518788,283897087.74644,True,True,0.00837259756436829
DAY,1591660800,267,cadli,BTC-USD,9780.99619651199,9868.77929801647,9627.83464580733,9777.32282153703,1591660800,1591747140,9804.4091132344,9868.77929801647,1591661700,9627.83464580733,1591662240,9777.32282153703,1440,377101.84539589,3664109413.35232,151878.564058051,1476060429.72154,47306.4287751739,459940198.722381,39259.9373312939,381729907.66646,True,True,0.014844565138947642
DAY,1591747200,267,cadli,BTC-USD,9777.32282153703,9974.78809111646,9716.58467718501,9883.85776375287,1591747200,1591833540,9787.2839256526,9974.78809111646,1591814760,9716.58467718501,1591781580,9883.85776375287,1440,417174.16079981,4091355770.32124,166853.761906625,1636919032.06787,48809.2834786918,479735361.616962,41308.5047710618,406066282.362922,True,True,0.01575063793606052
DAY,1591833600,267,cadli,BTC-USD,9883.85776375287,9955.99915635947,9159.6721124814,9272.36764252557,1591833600,1591919940,9889.79149912243,9955.99915635947,1591839480,9159.6721124814,1591894800,9272.36764252557,1440,647484.922350713,6204578364.31912,296886.733958268,2841228943.53075,108602.778857788,1033688003.7008,91060.0410004015,866497124.206433,True,True,0.05006573514006293
DAY,1591920000,267,cadli,BTC-USD,9272.36764252557,9558.80803727958,9240.07610924906,9465.31643360108,1591920000,1592006340,9263.67249375808,9558.80803727958,1591970400,9240.07610924906,1591920240,9465.31643360108,1440,393058.270590026,3702303374.38869,156908.071450341,1478029419.40019,45563.3728627481,428858640.565811,35702.0823027481,336076274.458704,True,True,0.0203667807438801
